[2026-06-27T11:58:37.593Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:58:37.594Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T11:58:37.594Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (18ms, 340606B)
[2026-06-27T11:58:37.594Z] GET http://localhost:4178/assets/js/data.js → 200 (17ms, 47293B)
[2026-06-27T11:58:37.594Z] GET http://localhost:4178/assets/js/charts.js → 200 (17ms, 15865B)
[2026-06-27T11:58:37.594Z] GET http://localhost:4178/assets/js/components.js → 200 (18ms, 13597B)
[2026-06-27T11:58:37.594Z] GET http://localhost:4178/assets/js/shell.js → 200 (18ms, 17726B)
[2026-06-27T11:58:37.641Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (1ms, ?B)
[2026-06-27T11:58:57.718Z] GET http://localhost:4178/park-list.html → 200 (4ms, 17262B)
[2026-06-27T11:58:57.726Z] GET http://localhost:4178/assets/css/theme.css → 200 (6ms, 27802B)
[2026-06-27T11:58:57.726Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:58:57.726Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (4ms, 1029203B)
[2026-06-27T11:58:57.731Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (10ms, 340606B)
[2026-06-27T11:58:57.731Z] GET http://localhost:4178/assets/js/data.js → 200 (9ms, 47293B)
[2026-06-27T11:58:57.731Z] GET http://localhost:4178/assets/js/charts.js → 200 (10ms, 15865B)
[2026-06-27T11:58:57.731Z] GET http://localhost:4178/assets/js/components.js → 200 (16ms, 13597B)
[2026-06-27T11:58:57.731Z] GET http://localhost:4178/assets/js/shell.js → 200 (17ms, 17726B)
[2026-06-27T11:58:57.788Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:59.056Z] GET http://localhost:4178/park-detail.html → 200 (1ms, 19951B)
[2026-06-27T11:58:59.061Z] GET http://localhost:4178/assets/css/theme.css → 200 (7ms, 27802B)
[2026-06-27T11:58:59.061Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (1ms, 6063B)
[2026-06-27T11:58:59.062Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T11:58:59.066Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (3ms, 340606B)
[2026-06-27T11:58:59.067Z] GET http://localhost:4178/assets/js/data.js → 200 (2ms, 47293B)
[2026-06-27T11:58:59.067Z] GET http://localhost:4178/assets/js/charts.js → 200 (2ms, 15865B)
[2026-06-27T11:58:59.067Z] GET http://localhost:4178/assets/js/components.js → 200 (2ms, 13597B)
[2026-06-27T11:58:59.067Z] GET http://localhost:4178/assets/js/shell.js → 200 (4ms, 17726B)
[2026-06-27T11:58:59.091Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:59:21.641Z] GET http://localhost:4178/park-list.html → 200 (7ms, 17262B)
[2026-06-27T11:59:21.659Z] GET http://localhost:4178/assets/css/theme.css → 200 (2ms, 27802B)
[2026-06-27T11:59:21.659Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:59:21.659Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T11:59:21.660Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (2ms, 340606B)
[2026-06-27T11:59:21.660Z] GET http://localhost:4178/assets/js/data.js → 200 (2ms, 47293B)
[2026-06-27T11:59:21.660Z] GET http://localhost:4178/assets/js/charts.js → 200 (2ms, 15865B)
[2026-06-27T11:59:21.660Z] GET http://localhost:4178/assets/js/components.js → 200 (2ms, 13597B)
[2026-06-27T11:59:21.661Z] GET http://localhost:4178/assets/js/shell.js → 200 (1ms, 17726B)
[2026-06-27T11:59:21.702Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (1ms, ?B)
[2026-06-27T11:59:38.194Z] GET http://localhost:4178/park-list.html → 200 (4ms, 17262B)
[2026-06-27T11:59:38.201Z] GET http://localhost:4178/assets/css/theme.css → 200 (5ms, 27802B)
[2026-06-27T11:59:38.201Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (1ms, 6063B)
[2026-06-27T11:59:38.202Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (2ms, 1029203B)
[2026-06-27T11:59:38.204Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (8ms, 340606B)
[2026-06-27T11:59:38.204Z] GET http://localhost:4178/assets/js/data.js → 200 (7ms, 47293B)
[2026-06-27T11:59:38.204Z] GET http://localhost:4178/assets/js/charts.js → 200 (7ms, 15865B)
[2026-06-27T11:59:38.205Z] GET http://localhost:4178/assets/js/components.js → 200 (7ms, 13597B)
[2026-06-27T11:59:38.205Z] GET http://localhost:4178/assets/js/shell.js → 200 (10ms, 17726B)
[2026-06-27T11:59:38.259Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:59:53.660Z] GET http://localhost:4178/park-list.html → 200 (4ms, 17262B)
[2026-06-27T11:59:53.675Z] GET http://localhost:4178/assets/css/theme.css → 200 (9ms, 27802B)
[2026-06-27T11:59:53.675Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:59:53.680Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (2ms, 1029203B)
